Code	Description	LongDescription	InternalDescription	FeeCalcPreference	NonICIS	QualifierCode	GroupCode	Status	CreatedBy	CreatedDate	UpdatedBy	UpdatedDate
MX	MO GEOMX	NULL	NULL	NULL	NULL	NULL	NULL	A	1	2018-03-12 16:35:53.080	1	2018-03-12 16:35:53.080
MZ	MN VALUE	Minimum Value	NULL	NULL	NULL	NULL	MINDA	A	1	2017-05-05 14:52:41.077	1	2017-05-05 14:52:41.077
QA	QRTR AVG	Quarterly Average	NULL	20	NULL	<=	AVGMON	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
QB	QRTR MAX	Quarterly Maximum	NULL	80	NULL	<=	MAXDA	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
QC	QRTR MIN	Quarterly Minimum	NULL	NULL	NULL	>=	MINDA	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
QT	QTRTOTAL	Quarterly Total	NULL	NULL	NULL	NULL	VAL	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
RA	ROLL AVG	Rolling Average	NULL	NULL	NULL	NULL	AVG	I	1	2017-05-05 14:52:41.077	1	2017-05-05 14:52:41.077
RF	Agg Rol Av	Aggregate 12 Mo Rolling Avg	NULL	NULL	NULL	NULL	VAL	I	1	2017-05-05 14:52:41.077	1	2017-05-05 14:52:41.077
SA	SINGSAMP	Single Sample	NULL	140	NULL	NULL	VAL	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
SB	SM2CNSAM	Single Mv Conc Sample	NULL	NULL	NULL	NULL	VAL	I	1	2017-05-05 14:52:41.077	1	2017-05-05 14:52:41.077
SC	SEMI AVG	Semi-Annual Average	NULL	50	NULL	<=	AVGMON	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
SE	Single Rdg	Single Reading	NULL	150	NULL	NULL	VAL	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
SG	SINGGRAB	Single Grab	NULL	160	NULL	NULL	VAL	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
SM	SEMI MIN	Semi-Annual Minimum	NULL	NULL	NULL	>=	MINDA	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
SX	SEMI MAX	Semi-Annual Maximum	NULL	110	NULL	<=	MAXDA	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
TB	TOTAL	Total	NULL	NULL	NULL	NULL	VAL	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
VA	VALUE	Value	NULL	130	NULL	NULL	VAL	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
WA	WKLY AVG	Weekly Average	NULL	30	NULL	<=	AVGWK	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
WB	WKLY GEO	Weekly Geometric	NULL	NULL	NULL	NULL	AVG	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
WC	WKLY MAX	Weekly Maximum	NULL	90	NULL	<=	MAXDA	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
WD	WKLY MIN	Weekly Minimum	NULL	NULL	NULL	>=	MIN	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
WE	WKAV GEO	Weekly Average Geometric	NULL	NULL	NULL	<=	AVGWK	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240

 
